approach,N,train_rmse,train_mae,train_accuracy,test_rmse,test_mae,test_accuracy
GAM,1,7.994935234658514,7.994935234658514,0.0,5.9388735860302875,4.874034512342293,0.1332
GAM,2,6.31269776749453,5.987724198580306,0.0,5.871392498326209,4.810699262359557,0.1028
GAM,3,5.137646563224215,3.977365556465259,0.3333333333333333,6.034455514440453,4.973056281729667,0.1332
GAM,4,5.737011770199519,4.6959927780845225,0.0,4.144647595124616,3.2449292297405226,0.0995
GAM,5,4.259660107161398,3.1706401378160622,0.2,3.729274993635534,2.924551132084265,0.1027
GAM,6,3.7822887118570394,3.3199977842698742,0.0,3.4779423543720243,2.7604353224342195,0.1351
GAM,7,3.3667585611255406,2.807580488375687,0.14285714285714285,3.393477185662482,2.7359712893832935,0.1067
GAM,8,3.125730699793778,2.5454494487194994,0.125,3.488609746804748,2.7883314618843285,0.1022
GAM,9,3.0577166347773033,2.443966441995718,0.1111111111111111,3.512951842374819,2.7918509891514978,0.1368
GAM,10,3.836738414222077,3.114154879626971,0.1,3.449408489037116,2.8241656539904785,0.0884
GAM,20,3.31986752947787,2.6806383126256152,0.15,3.3454917832748987,2.751605924610509,0.1555
GAM,30,2.8829355131558065,2.266166320970072,0.16666666666666666,3.03631635162265,2.4788271574664944,0.1099
GAM,40,1.8340562219938121,1.5345829083360965,0.1,2.5248799060077687,2.0433472284191745,0.1483
GAM,50,1.7083129867012015,1.3876611279463438,0.26,2.272252435217919,1.8227480551662494,0.1768
GAM,60,0.9041863462140753,0.7151645880108508,0.43333333333333335,1.3867441088962231,1.1101128436137306,0.2735
GAM,70,0.3771790815299577,0.3062253958110216,0.8285714285714286,0.5484684874499488,0.44228113319730844,0.6297
GAM,80,0.25271731404235187,0.20315197898960533,0.975,0.3533784070173312,0.2818366477095412,0.8416
GAM,90,0.1078381700037205,0.08356200590109969,1.0,0.14035881697043942,0.11227959505369109,0.9996
GAM,100,0.08992281026596592,0.06932192165995757,1.0,0.10985678528835399,0.08827401659683384,1.0
GAM,200,0.0438029425559477,0.034950740204866416,1.0,0.04697390452561713,0.03786599004434645,1.0
