approach,N,train_rmse,train_mae,train_accuracy,test_rmse,test_mae,test_accuracy
GB Tree,1,0.0,0.0,1.0,4.564602940015703,3.8114,0.1486
GB Tree,2,2.0,2.0,0.0,3.5874782229304194,2.9098,0.1827
GB Tree,3,3.265986323710904,2.6666666666666665,0.3333333333333333,3.592269477642233,2.739,0.2433
GB Tree,4,4.47213595499958,4.0,0.0,3.5874782229304194,2.9098,0.1827
GB Tree,5,4.308131845707604,3.84,0.0,3.4530797847718495,2.8414800000000002,0.0
GB Tree,6,4.068851871911234,3.6666666666666665,0.0,3.5100110794380375,2.8813333333333335,0.1827
GB Tree,7,3.7688302737922625,3.183673469387755,0.14285714285714285,3.51924968812202,2.8854,0.1827
GB Tree,8,3.570714214271425,3.0,0.125,3.4826139608058773,2.8671,0.1827
GB Tree,9,3.3993463423951895,2.814814814814815,0.0,3.4630301439314355,2.8528666666666664,0.0
GB Tree,10,4.1424630354415966,3.44,0.1,3.6478157848224737,2.9999600000000006,0.1827
GB Tree,20,0.5214148987110835,0.43157943776157615,0.65,4.0821126726879315,3.261017156141681,0.0943
GB Tree,30,0.5221759433351222,0.1956206572053524,0.9333333333333333,3.5515929382569835,2.7523839828701395,0.1257
GB Tree,40,0.14762750066136146,0.11680963560350613,1.0,2.132880369628625,1.6756358368918947,0.1986
GB Tree,50,0.15511205672733125,0.1251812520064392,1.0,1.882203223399179,1.4739007145159673,0.2243
GB Tree,60,0.08519097855507834,0.06533014715288542,1.0,0.6697092622697548,0.5289254618727409,0.5578
GB Tree,70,0.053921573191271235,0.04053598543926873,1.0,0.3872699986086743,0.30588005417961295,0.8038
GB Tree,80,0.05857041837684076,0.04667062870845824,1.0,0.3866707780906927,0.3048046865345556,0.809
GB Tree,90,0.052246364187255576,0.04080636462617276,1.0,0.2765020930750532,0.2205379465557512,0.9288
GB Tree,100,0.05269363325136287,0.04103972239639969,1.0,0.18668070594134772,0.14539435648399163,0.9848
GB Tree,200,0.015762593967059736,0.011963250378700309,1.0,0.03419213929851162,0.025670887729399385,1.0
GB Tree,300,0.0061340855237688304,0.004135047782930631,1.0,0.009263594575514358,0.006288132339976059,1.0
